Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Notes,Brand,Best_For,Image_Url,Deal_Stat,Deal_Link,Budget,Final_Budget,Rate_From_10,Type
"EGP60,999.00",Lenovo LOQ 15IRX9,"13th Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W",16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl439-zl439.png,In stock,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-luna-grey.html,High/Extreme-High,"EGP60,999.00 'High/Extreme-High'",-,Deal
"EGP131,849.00",MSI Vector 17 HX A14VHG,"14th Gen. Intel® Core™ i9 processor 14900HX 36M Cache, up to 5.80 GHz",NVIDIA® GeForce RTX™ 4080 Laptop GPU 12GB GDDR6,32 GB,Unspecified,"1x M.2 SSD slot (NVMe PCIe Gen4), 1x M.2 SSD slot (NVMe PCIe Gen5) Compatible",17” QHD,"Gaming,https://2b.com.eg/en/msi-vector-17-hx-a14vhg-laptop-intelr-coretm-i9-14900hx-32gb-1tb-ssd-nvidiar-geforce-rtxtm-4080-12gb-17-qhd-win11-cosmos-gray.html,In stock Only 1 left",MSI,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm973.png,In stock Only 1 left,https://2b.com.eg/en/msi-vector-17-hx-a14vhg-laptop-intelr-coretm-i9-14900hx-32gb-1tb-ssd-nvidiar-geforce-rtxtm-4080-12gb-17-qhd-win11-cosmos-gray.html,High/Extreme-High,"EGP131,849.00 'High/Extreme-High'",-,Deal
"EGP229,999.00",MSI Titan 18HX A14VI,"14th Gen. Intel® Core™ i9 processor 14900HX 36M Cache, up to 5.80 GHz",NVIDIA® GeForce RTX™ 4090 Laptop GPU 16GB GDDR6,64 GB,Unspecified,"2x M.2 SSD slot (NVMe PCIe Gen4), 1x M.2 SSD slot (NVMe PCIe Gen5) Compatible",18” UHD,"Gaming,https://2b.com.eg/en/msi-titan-18hx-a14vi-laptop-intelr-coretm-i9-14900hx-64gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-18-uhd-win11-core-black.html,In stock Only 1 left",MSI,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm973_1.png,In stock Only 1 left,https://2b.com.eg/en/msi-titan-18hx-a14vi-laptop-intelr-coretm-i9-14900hx-64gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-18-uhd-win11-core-black.html,High/Extreme-High,"EGP229,999.00 'High/Extreme-High'",-,Deal
"EGP37,999.00",Lenovo LOQ 15IRH8,"12th ntel® Core™ i5-12450H, 8C (4P + 4E) / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB","NVIDIA® GeForce RTX™ 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-storm-grey.html,In stock Only 2 left",Lenovo,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl390_1.jpg,In stock Only 2 left,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-storm-grey.html,Medium,"EGP37,999.00 'Medium'",-,Deal
"EGP41,999.00",Dell G15-5515,"AMD® Ryzen™ 7 5800H Mobile (20 MB total cache, 8 cores, 16 threads)",NVIDIA® GeForce RTX™ 3050 4GB,8 GB,Unspecified,"512 GB, M.2, PCIe NVMe, SSD","15.6"", FHD 1920x1080","Gaming,https://2b.com.eg/en/dell-g15-5515-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-phantom-grey.html,In stock",Dell,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd089-1n-2b.jpg,In stock,https://2b.com.eg/en/dell-g15-5515-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-phantom-grey.html,Medium,"EGP41,999.00 'Medium'",-,Deal
"EGP85,999.00",ASUS ROG Flow X16 GV601VU-NF060W,"13th Generation Intel® Core™ i9-13900H Processor 24M Cache, up to 5.40 GHz",NVIDIA® GeForce RTX™ 4050 6GB,16 GB,Unspecified,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16"" 2K WQXGA","Gaming,https://2b.com.eg/en/asus-rog-flow-x16-gv601vu-nf060w-laptop-intelr-coretm-i9-13900h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-2k-wqxga-win11-off-black.html,In stock Only 1 left",Asus,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu468-1.png,In stock Only 1 left,https://2b.com.eg/en/asus-rog-flow-x16-gv601vu-nf060w-laptop-intelr-coretm-i9-13900h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-2k-wqxga-win11-off-black.html,High/Extreme-High,"EGP85,999.00 'High/Extreme-High'",-,Deal
"EGP54,999.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl457-1_1.png,In stock,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-luna-grey.html,High/Extreme-High,"EGP54,999.00 'High/Extreme-High'",-,Deal
"EGP49,999.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl457-1.png,In stock,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,Medium,"EGP49,999.00 'Medium'",-,Deal
"EGP53,999.00",MSI Cyborg 15 A13VF,"13 Gen. Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",NVIDIA® GeForce RTX™ 4060 Laptop GPU 8GB GDDR6,16 GB,Unspecified,1x M.2 SSD slot (NVMe PCIe Gen4),"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/msi-cyborg-15-a13vf-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-translucent-black.html,In stock",MSI,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm974_1.png,In stock,https://2b.com.eg/en/msi-cyborg-15-a13vf-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-translucent-black.html,High/Extreme-High,"EGP53,999.00 'High/Extreme-High'",-,Deal
"EGP52,999.00",HP Victus 16-d1026ne,"12th Gen Intel® Core™ i7-12700H (up to 4.7 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads)",NVIDIA® GeForce RTX™ 3060 Laptop GPU (6 GB GDDR6 dedicated),16 GB,Unspecified,512 GB PCIe® NVMe™ TLC M.2 SSD,"16.1"" FHD 1920 x 1080","Gaming,https://2b.com.eg/en/hp-victus-16-d1026ne-intelr-coretm-i7-12700h-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-3060-6gb-16-1-fhd-win11-mica-silver.html,In stock",HP,Gaming,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh425-edited1_1.jpg,In stock,https://2b.com.eg/en/hp-victus-16-d1026ne-intelr-coretm-i7-12700h-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-3060-6gb-16-1-fhd-win11-mica-silver.html,High/Extreme-High,"EGP52,999.00 'High/Extreme-High'",-,Deal
