360X,Student,Gaming,Professional
https://2b.com.eg/en/hp-pavilion-x360-14-ek0010ne-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,https://2b.com.eg/en/hp-15s-eq1002ne-amd-ryzen-3-3250u-dual-4-gb-256-gb-ssd-amd-radeon-integrated-graphics-15-6-hd-win11-natural-silver.html,https://2b.com.eg/en/dell-g15-5515-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-phantom-grey.html,https://2b.com.eg/en/hp-15s-fq5042ne-laptop-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html
https://2b.com.eg/en/hp-pavilion-x360-14-ek0011ne-intelr-coretmi5-1235u-8gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,https://2b.com.eg/en/huawei-matebook-d14-laptop-intelr-coretm-i3-1115g4-8gb-256gb-ssd-intelr-uhd-graphics-14-inch-win11-mystic-silver.html,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-grey.html,https://2b.com.eg/en/hp-15s-fq5043ne-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html
https://2b.com.eg/en/hp-envy-x360-14-es0013dx-laptop-intelr-coretm-i5-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-13-3-fhd-win11-natural-silver.html,https://2b.com.eg/en/hp-14-em0004ne-laptop-amd-ryzentm-r3-7320u-4gb-256gb-ssd-amd-radeontm-integrated-graphics-14-hd-win11-natural-silver.html,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-storm-grey.html,https://2b.com.eg/en/lenovo-ideapad-3-slim-15irh8-intelr-coretm-i5-13420h-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-arctic-grey.html
https://2b.com.eg/en/asus-vivobook-s-14-flip-tn3402qa-lz005w-amd-ryzentm-r5-5600h-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-quiet-blue.html,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intel-uhd-graphics-15-6-hd-win11-cloud-grey.html,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-16-x1605va-mb122w-laptop-intelr-coretm-i5-1335u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-16-wuxga-win-11-black.html
https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz007w-intelr-coretm-i7-12700h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,https://2b.com.eg/en/lenovo-ideapad-slim-3-15amn8-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html,https://2b.com.eg/en/lenovo-legion-7-pro-16irx8h-laptop-intelr-coretm-i9-13900hx-32gb-1tbssd-nvidiar-geforce-rtxtm-4080-12gb-16-wqxga-win11-onyx-grey.html,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-black.html
https://2b.com.eg/en/hp-envy-x360-13-bf0003ne-intelr-coretm-i5-1230u-8gb-512gb-ssd-intelr-irisr-x-graphics-13-3-wuxga-win11-natural-silver.html,https://2b.com.eg/en/dell-vostro-3510-intelr-coretm-i3-1115g4-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-black.html,https://2b.com.eg/en/lenovo-legion-7-pro-16irx8h-laptop-intelr-coretm-i9-13900hx-32gb-1tbssd-nvidiar-geforce-rtxtm-4090-16gb-16-wqxga-win11-onyx-grey.html,https://2b.com.eg/en/lenovo-ideapad-3-slim-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-intelr-uhd-graphics-13-3-fhd-win11-grey.html
https://2b.com.eg/en/lenovo-flex-5-amd-ryzentm7-5700u-8gb-512gb-ssd-amd-radeontm-graphics-14-fhd-win10-graphite-grey.html,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-win11-abyss-blue.html,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-15-x1504va-nj017w-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-win11-quiet-blue.html
https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz005w-intelr-coretm-i5-12500h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,https://2b.com.eg/en/hp-15s-eq1001ne-amd-ryzen-3-3250u-dual-4-gb-256-gb-ssd-amd-radeon-integrated-graphics-15-6-hd-win11-black.html,https://2b.com.eg/en/asus-rog-zephyrus-g16-gu605my-qr061w-laptop-intelr-ultra-9-185h-32gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-16-2-5k-wqxga-win11-eclipse-gray.html,https://2b.com.eg/en/msi-modern-14-c12mo-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-14-fhd-classic-black.html
https://2b.com.eg/en/asus-vivobook-s14-flip-tn3402ya-lz005w-laptop-amd-ryzentm-r5-7530u-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-cool-silver.html,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506nf-hn005w-laptop-amd-ryzentm-r5-7535hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-win11-graphite-black.html,https://2b.com.eg/en/msi-prestige-13-ai-evo-a1mg-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-intelr-arctm-graphics-13-3-2-8k-oled-win11-stellar-gray.html
,,https://2b.com.eg/en/asus-rog-flow-x16-gv601vu-nf060w-laptop-intelr-coretm-i9-13900h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-2k-wqxga-win11-off-black.html,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,https://2b.com.eg/en/msi-titan-18hx-a14vi-laptop-intelr-coretm-i9-14900hx-64gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-18-uhd-win11-core-black.html,https://2b.com.eg/en/dell-vostro-3520-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,https://2b.com.eg/en/msi-vector-17-hx-a14vhg-laptop-intelr-coretm-i9-14900hx-32gb-1tb-ssd-nvidiar-geforce-rtxtm-4080-12gb-17-qhd-win11-cosmos-gray.html,https://2b.com.eg/en/huawei-matebook-d15-laptop-intelr-coretm-i3-1115g4-8gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-mystic-silver.html
,,https://2b.com.eg/en/msi-cyborg-15-ai-a1vf-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-win11-translucent-black.html,https://2b.com.eg/en/hp-pavalion-15-eh3000ne-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-15-6-fhd-win11-natural-silver.html
,,https://2b.com.eg/en/msi-cyborg-15-a13vf-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-translucent-black.html,https://2b.com.eg/en/hp-pavalion-15-eh3001ne-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-15-6-fhd-win11-blue.html
,,https://2b.com.eg/en/hp-victus-15-fb1013dx-laptop-amd-ryzentm-5-7535hs-8gb-512gb-ssd-nvidiar-geforcer-rtx-2050-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/hp-spectre14-ef2008ne-intelr-evo-coretm-i7-1355u-intelr-iris-xe-graphics-16gb-1tb-ssd-13-5-3k-oled-uwva-win11-nocturne-blue.html
,,https://2b.com.eg/en/lenovo-legion-5-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-wqxga-win11-luna-grey.html,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6-fhd-win11-cloud-grey.html
